,year,award year,movie,producers,winner,TMDB_id,imdb_id,budget,revenue,popularity,genre,adult,production_companies,release_date,vote_average,runtime(mins),average_rating_c,liked_count_c,not_liked_count_c,rating_count_c,state_c,value_c,average_rating_a,liked_count_a,not_liked_count_a,rating_count_a,review_count_a,value_a
14,2002,(75th),The Pianist,"Roman Polanski, Robert Benmussa and Alain Sarde",False,423,tt0253474,35000000,120100000,36.792,Drama,False,"['Canal+ Polska', 'Bac Films', 'Heritage Films', 'Studio Babelsberg', 'Agencja Produkcji Filmowej', 'FFF Bayern', 'Filmboard Berlin-Brandenburg (FBB)', 'R.P. Productions', 'StudioCanal', 'Canal+', 'TVP', 'Runteam', 'FFA']",2002-09-17,8.383,150,8.2,179.0,10.0,189.0,certified-fresh,95.0,4.4,47790,2234,253873,10831,96
15,2003,(76th),The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh",True,122,tt0167260,94000000,1118888979,85.029,Adventure,False,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",2003-12-01,8.476,201,8.7,261.0,17.0,278.0,certified-fresh,94.0,3.6,193983,30876,34679773,2050091,86
16,2003,(76th),Lost in Translation,Ross Katz and Sofia Coppola,False,153,tt0335266,4000000,119723856,23.159,Drama,False,"['American Zoetrope', 'Focus Features', 'TFC', 'Elemental Films']",2003-09-18,7.393,102,8.4,224.0,11.0,235.0,certified-fresh,95.0,4.1,69521,11825,338123,22312,85
17,2003,(76th),Master and Commander: The Far Side of the World,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson",False,8619,tt0311113,150000000,212011111,29.251,Adventure,False,"['20th Century Fox', 'Miramax', 'Universal Pictures', 'Samuel Goldwyn Films']",2003-11-14,7.1,138,7.6,191.0,33.0,224.0,certified-fresh,85.0,3.9,12119,2956,141450,5391,80
18,2003,(76th),Mystic River,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood",False,322,tt0327056,25000000,156822020,31.112,Thriller,False,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'NPV Entertainment', 'Malpaso Productions']",2003-03-03,7.749,138,7.8,181.0,23.0,204.0,certified-fresh,89.0,4.1,24609,2995,204004,7594,89
19,2003,(76th),Seabiscuit,"Kathleen Kennedy, Frank Marshall and Gary Ross",False,4464,tt0329575,87000000,148300000,18.253,Drama,False,"['Universal Pictures', 'DreamWorks Pictures', 'Spyglass Entertainment', 'Larger Than Life Productions', 'The Kennedy/Marshall Company']",2003-07-22,7.0,141,7.1,162.0,46.0,208.0,certified-fresh,78.0,3.8,5952,1912,118520,2838,76
20,2004,(77th),The Aviator,Michael Mann and Graham King,False,2567,tt0338751,110000000,213700000,24.362,Drama,False,"['Warner Bros. Pictures', 'Miramax', 'Initial Entertainment Group', 'Forward Pass', 'Appian Way', 'IMF Internationale Medien und Film GmbH & Co. Produktions KG']",2004-12-17,7.2,170,,,,,,,3.8,5952,1912,118520,2838,76
21,2004,(77th),Finding Neverland,Richard N. Gladstein and Nellie Bellflower,False,866,tt0308644,25000000,116766556,15.672,Drama,False,"['Miramax', 'FilmColony']",2004-10-17,7.322,106,7.5,170.0,36.0,206.0,certified-fresh,83.0,4.1,40370,6137,465560,19216,87
22,2004,(77th),Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg",True,70,tt0405159,30000000,216763646,31.589,Drama,False,"['Lakeshore Entertainment', 'Malpaso Productions', 'Epsilon Motion Pictures', 'Albert S. Ruddy Productions', 'Warner Bros. Pictures']",2004-12-15,7.955,132,8.4,244.0,26.0,270.0,certified-fresh,90.0,4.2,42847,4895,405499,15873,90
23,2004,(77th),Ray,"Taylor Hackford, Stuart Benjamin and Howard Baldwin",False,1677,tt0350258,40000000,124700000,20.075,Drama,False,"['Bristol Bay Productions', 'Universal Pictures', 'Anvil Films', 'Baldwin Entertainment Group']",2004-10-29,7.437,152,7.2,161.0,43.0,204.0,certified-fresh,79.0,4.1,19385,2866,214698,7349,87
24,2004,(77th),Sideways,Michael Londo,False,9675,tt0375063,16000000,109502303,16.207,Comedy,False,"['Fox Searchlight Pictures', 'Michael London Productions', 'Sideways Productions Inc.']",2004-10-22,7.087,127,8.6,223.0,8.0,231.0,certified-fresh,97.0,3.8,26465,7227,197951,10822,79
25,2005,(78th),Brokeback Mountain,Diana Ossana and James Schamus,False,142,tt0388795,14000000,178043761,30.606,Drama,False,"['Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']",2005-09-10,7.8,134,8.2,221.0,30.0,251.0,certified-fresh,88.0,4.0,41155,8823,520388,27156,82
26,2005,(78th),Capote,"Caroline Baron, William Vince and Michael Ohoven",False,398,tt0379725,7000000,49327405,15.075,Crime,False,"['United Artists', 'Sony Pictures Classics', 'A-Line Pictures', ""Cooper's Town Productions"", 'Infinity Media']",2005-09-30,6.992,114,,,,,,,4.0,41155,8823,520388,27156,82
27,2005,(78th),Crash,Paul Haggis and Cathy Schulman,True,1640,tt0375679,6500000,98400000,23.629,Drama,False,"['Lionsgate', 'Blackfriars Bridge Films', 'Yari Film Group', 'Bob Yari Productions', 'ApolloProScreen Filmproduktion', ""Bull's Eye Entertainment"", 'DEJ Productions', 'Harris Company']",2005-05-06,7.228,112,7.2,178.0,64.0,242.0,certified-fresh,74.0,4.2,70428,9410,442571,29797,88
28,2005,(78th),"Good Night, and Good Luck.",Grant Heslo,False,3291,tt0433383,7000000,54600000,17.872,Drama,False,"['Warner Independent Pictures', '2929 Productions', 'Redbus Pictures', 'TFC', 'Participant', 'Section Eight', 'Davis Films']",2005-09-16,7.1,92,,,,,,,4.2,70428,9410,442571,29797,88
29,2005,(78th),Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel",False,612,tt0408306,70000000,130982129,23.412,Drama,False,"['Universal Pictures', 'DreamWorks Pictures', 'Alliance Atlantis', 'Amblin Entertainment', 'The Kennedy/Marshall Company', 'Barry Mendel Productions']",2005-12-23,7.145,164,7.5,163.0,45.0,208.0,certified-fresh,78.0,3.9,20782,4224,330481,10608,83
30,2006,(79th),Babel,"Alejandro González Iñárritu, Jon Kilik and Steve Golin",False,1164,tt0449467,25000000,135330182,18.298,Drama,False,"['Anonymous Content', 'Central Films', 'Zeta Film']",2006-10-26,7.184,143,6.8,143.0,64.0,207.0,fresh,69.0,3.8,46726,13945,377496,19816,77
31,2006,(79th),The Departed,Graham Kin,True,1422,tt0407887,90000000,291465000,41.703,Drama,False,"['Vertigo Entertainment', 'Media Asia Films', 'Initial Entertainment Group', 'Warner Bros. Pictures', 'Plan B Entertainment']",2006-10-04,8.166,151,8.3,260.0,27.0,287.0,certified-fresh,91.0,4.4,163636,11058,739208,58090,94
32,2006,(79th),Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg and Robert Lorenz",False,1251,tt0498380,19000000,68673228,17.081,Action,False,"['Warner Bros. Pictures', 'DreamWorks Pictures', 'Malpaso Productions', 'Amblin Entertainment']",2006-12-19,7.5,141,8.2,186.0,18.0,204.0,certified-fresh,91.0,4.1,24402,3844,341233,10128,86
33,2006,(79th),Little Miss Sunshine,"David T. Friendly, Peter Saraf and Marc Turtletaub",False,773,tt0449059,8000000,100523181,15.594,Comedy,False,"['Fox Searchlight Pictures', 'Bona Fide Productions', 'Big Beach']",2006-07-26,7.678,102,7.7,199.0,20.0,219.0,certified-fresh,91.0,4.3,120312,11299,427833,45163,91
34,2006,(79th),The Queen,"Andy Harries, Christine Langan and Tracey Seaward",False,1165,tt0436697,15000000,123384128,12.911,Drama,False,"['Granada Productions', 'Pathé Renn Productions', 'BIM Distribuzione']",2006-09-15,7.0,103,8.4,197.0,7.0,204.0,certified-fresh,97.0,3.8,16110,5070,175722,9123,76
35,2007,(80th),Atonement,"Tim Bevan, Eric Fellner and Paul Webster",False,4347,tt0783233,30000000,131016624,24.296,Drama,False,"['Universal Pictures', 'Relativity Media', 'Working Title', 'StudioCanal', 'Focus Features']",2007-09-07,7.7,123,7.4,183.0,37.0,220.0,certified-fresh,83.0,3.9,59832,15221,227450,31938,80
36,2007,(80th),Juno,"Lianne Halfon, Mason Novick and Russell Smith",False,7326,tt0467406,7500000,232372681,23.426,Comedy,False,"['Mandate Pictures', 'Mr. Mudd Production', 'Mandate International']",2007-12-05,7.047,96,8.1,203.0,14.0,217.0,certified-fresh,94.0,4.2,196479,27526,549831,76859,88
37,2007,(80th),Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent",False,4566,tt0465538,25000000,92991835,14.479,Drama,False,"['Castle Rock Entertainment', 'Mirage Enterprises', 'Section Eight', 'Samuels Media']",2007-09-28,6.8,120,7.6,186.0,20.0,206.0,certified-fresh,90.0,3.6,47832,21170,300162,21725,69
38,2007,(80th),No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen",True,6977,tt0477348,25000000,171627166,38.348,Crime,False,"['Miramax', 'Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions']",2007-06-13,7.936,122,8.7,270.0,19.0,289.0,certified-fresh,93.0,4.2,123250,19634,400564,60239,86
39,2007,(80th),There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi",False,7345,tt0469494,25000000,77208711,36.278,Drama,False,"['Paramount Vantage', 'Miramax', 'Ghoulardi Film Company', 'JoAnne Sellar Productions']",2007-12-26,8.087,158,8.5,226.0,21.0,247.0,certified-fresh,91.0,4.2,73078,11849,256076,36743,86
40,2008,(81st),The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin",False,4922,tt0421715,150000000,335802786,42.57,Drama,False,"['Paramount', 'Warner Bros. Pictures', 'The Kennedy/Marshall Company']",2008-12-25,7.581,166,,,,,,,4.2,73078,11849,256076,36743,86
41,2008,(81st),Frost/Nixon,"Brian Grazer, Ron Howard and Eric Fellner",False,11499,tt0870111,25000000,18593156,15.894,Drama,False,"['Universal Pictures', 'Imagine Entertainment', 'Working Title', 'StudioCanal', 'Relativity Media']",2008-10-15,7.311,122,,,,,,,4.2,73078,11849,256076,36743,86
42,2008,(81st),Milk,Dan Jinks and Bruce Cohen,False,10139,tt1013753,20000000,54600000,17.835,History,False,"['Groundswell Productions', 'Jinks/Cohen Company', 'Focus Features']",2008-11-05,7.252,128,8.0,227.0,18.0,245.0,certified-fresh,93.0,4.1,27874,3481,178202,11668,89
43,2008,(81st),The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris",False,8055,tt0976051,32000000,108902486,23.321,Drama,False,"['The Weinstein Company', 'Filmstiftung Nordrhein-Westfalen', 'Mirage Enterprises', 'Studio Babelsberg', 'FFA', 'Deutscher Filmförderfonds', 'Medienboard Berlin-Brandenburg', 'ARD', 'Mitteldeutsche Medienförderung']",2008-12-10,7.444,124,6.4,128.0,75.0,203.0,fresh,63.0,3.8,20013,5250,207081,10255,79
44,2008,(81st),Slumdog Millionaire,Christian Colso,True,12405,tt1010048,15000000,378410542,24.795,Drama,False,"['Celador Films', 'Film4 Productions']",2008-11-12,7.734,120,8.4,265.0,25.0,290.0,certified-fresh,91.0,4.3,79698,8783,1156126,50341,90
45,2009,(82nd),Avatar,James Cameron and Jon Landau,False,19995,tt0499549,237000000,2923706026,131.011,Action,False,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",2009-12-15,7.575,162,7.5,273.0,62.0,335.0,certified-fresh,81.0,4.1,233650,50777,1387327,83471,82
46,2009,(82nd),The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson",False,22881,tt0878804,29000000,309208309,38.841,Drama,False,"['Warner Bros. Pictures', 'Alcon Entertainment']",2009-11-20,7.695,129,6.1,135.0,71.0,206.0,fresh,66.0,4.1,71632,12806,432193,19522,85
47,2009,(82nd),District 9,Peter Jackson and Carolynne Cunningham,False,17654,tt1136608,30000000,210800000,36.408,Science Fiction,False,"['TriStar Pictures', 'Block / Hanson', 'WingNut Films', 'District 9']",2009-08-05,7.428,112,7.8,282.0,32.0,314.0,certified-fresh,90.0,4.0,82572,17541,1179090,39457,82
48,2009,(82nd),An Education,Finola Dwyer and Amanda Posey,False,24684,tt1174732,7500000,26096852,11.549,Drama,False,"['BBC Film', 'Wildgaze Films', 'Endgame Entertainment']",2009-10-29,6.9,100,7.9,185.0,13.0,198.0,certified-fresh,93.0,3.8,13897,3477,55054,4725,80
49,2009,(82nd),The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro",True,12162,tt0887912,15000000,49230772,30.379,Drama,False,"['Film Capital Europe Funds (FCEF )', 'First Light', 'Kingsgate Films', 'Voltage Pictures', 'Grosvenor Park Media']",2008-10-10,7.257,131,8.5,281.0,10.0,291.0,certified-fresh,97.0,4.0,40148,7753,96472,13866,84
50,2009,(82nd),Inglourious Basterds,Lawrence Bende,False,16869,tt0361748,70000000,321457747,67.755,Drama,False,"['The Weinstein Company', 'Universal Pictures', 'A Band Apart', 'Zehnte Babelsberg Film', 'Visiona Romantica', 'Peninsula Films']",2009-08-19,8.216,153,7.8,298.0,37.0,335.0,certified-fresh,89.0,4.2,98325,13693,777561,36686,88
51,2009,(82nd),Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness",False,25793,tt0929632,10000000,47536959,18.18,Drama,False,['Smokewood Entertainment Group'],2009-11-06,7.334,110,,,,,,,4.2,98325,13693,777561,36686,88
52,2009,(82nd),A Serious Man,Joel Coen and Ethan Coen,False,12573,tt1019452,7000000,31400000,17.662,Comedy,False,"['Mike Zoss Productions', 'Focus Features', 'Relativity Media', 'Working Title Films', 'StudioCanal']",2009-09-30,6.751,106,7.9,200.0,24.0,224.0,certified-fresh,89.0,3.6,11208,5284,63264,5035,68
53,2009,(82nd),Up,Jonas River,False,14160,tt1049413,175000000,735099082,89.236,Animation,False,['Pixar'],2009-05-28,7.952,96,8.7,290.0,7.0,297.0,certified-fresh,98.0,4.3,112609,12739,1205143,42280,90
54,2009,(82nd),Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman",False,22947,tt1193138,25000000,166842739,17.111,Drama,False,"['Paramount', 'DreamWorks Pictures', 'Cold Spring Pictures', 'The Montecito Picture Company', 'Rickshaw Productions', 'Right of Way Films']",2009-09-05,6.854,110,8.1,260.0,28.0,288.0,certified-fresh,90.0,3.8,37267,9750,228692,14118,79
55,2010,(83rd),Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin",False,44214,tt0947798,13000000,329400000,38.516,Drama,False,"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures']",2010-12-03,7.677,108,7.2,5.0,1.0,6.0,fresh,83.0,3.8,190,68,1360,122,73
56,2010,(83rd),The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg",False,45317,tt0964517,25000000,93617009,17.124,Drama,False,"['The Weinstein Company', 'Relativity Media', 'Mandeville Films', 'Closest to the Hole Productions', 'Protozoa Pictures']",2010-12-10,7.4,116,7.8,233.0,23.0,256.0,certified-fresh,91.0,4.1,43520,5277,121791,11223,89
57,2010,(83rd),Inception,Emma Thomas and Christopher Nolan,False,27205,tt1375666,160000000,825532764,115.757,Action,False,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",2010-07-15,8.366,148,8.2,321.0,49.0,370.0,certified-fresh,87.0,4.4,166116,15660,573970,41717,91
58,2010,(83rd),The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray",False,39781,tt0842926,3500000,34705850,27.901,Comedy,False,"['Focus Features', 'Mandalay Vision', '10th Hole Productions', 'Gilbert Films', 'Saint Aire Production', 'Artist International', 'Antidote Films', 'Artist International Management']",2010-07-09,6.593,106,7.8,210.0,18.0,228.0,certified-fresh,92.0,3.7,15018,5407,63682,4672,74
59,2010,(83rd),The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin",True,45269,tt1504320,15000000,414211549,31.702,Drama,False,"['The Weinstein Company', 'UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare Investment', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']",2010-11-26,7.742,118,,,,,,,3.7,15018,5407,63682,4672,74
60,2010,(83rd),127 Hours,"Christian Colson, Danny Boyle and John Smithson",False,44115,tt1542344,18000000,35692920,22.006,Adventure,False,"['Fox Searchlight Pictures', 'Pathé', 'Everest Entertainment', 'HandMade Films', 'Film4 Productions', 'Cloud Eight Films', 'Dune Entertainment']",2010-11-12,7.075,94,8.2,222.0,17.0,239.0,certified-fresh,93.0,4.0,36238,6511,96183,10441,85
61,2010,(83rd),The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin",False,37799,tt1285016,40000000,224920315,34.973,Drama,False,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",2010-10-01,7.364,121,9.0,319.0,14.0,333.0,certified-fresh,96.0,4.1,81606,12683,205117,19874,87
62,2010,(83rd),Toy Story 3,Darla K. Anderso,False,10193,tt0435761,200000000,1066969703,63.132,Animation,False,"['Pixar', 'Walt Disney Pictures']",2010-06-16,7.792,103,8.9,308.0,5.0,313.0,certified-fresh,98.0,4.4,158569,18549,608602,26247,90
63,2010,(83rd),True Grit,"Scott Rudin, Ethan Coen and Joel Coen",False,44264,tt1403865,38000000,252300000,20.253,Drama,False,"['Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance']",2010-12-22,7.303,110,7.9,49.0,7.0,56.0,certified-fresh,88.0,4.0,4183,810,26259,1352,84
64,2010,(83rd),Winter's Bone,Anne Rosellini and Alix Madigan-Yorkin,False,39013,tt1399683,2000000,13831503,17.91,Drama,False,"['Anonymous Content', ""Winter's Bone Productions"", 'Fortissimo Films']",2010-06-11,6.8,101,,,,,,,4.0,4183,810,26259,1352,84
65,2011,(84th),The Artist,Thomas Langman,True,74643,tt1655442,15000000,133432856,13.059,Drama,False,"['uFilm', 'La Petite Reine', 'Studio 37', 'La Classe américaine', 'JD Prod', 'France 3 Cinéma', 'Jouror Productions']",2011-10-12,7.461,100,8.8,313.0,16.0,329.0,certified-fresh,95.0,4.2,27302,3942,58779,6656,87
66,2011,(84th),The Descendants,"Jim Burke, Alexander Payne and Jim Taylor",False,65057,tt1033575,20000000,177243185,19.832,Comedy,False,"['Dune Entertainment', 'Fox Searchlight Pictures', 'Ad Hominem Enterprises']",2011-09-09,6.831,115,,,,,,,4.2,27302,3942,58779,6656,87
67,2011,(84th),Extremely Loud & Incredibly Close,Scott Rudi,False,64685,tt0477302,40000000,55200000,15.822,Drama,False,"['Warner Bros. Pictures', 'Scott Rudin Productions']",2011-12-25,6.975,129,,,,,,,4.2,27302,3942,58779,6656,87
68,2011,(84th),The Help,"Brunson Green, Chris Columbus and Michael Barnathan",False,50014,tt1454029,25000000,216600000,53.999,Drama,False,"['DreamWorks Pictures', 'Reliance Entertainment', 'Participant', 'Imagenation Abu Dhabi FZ', '1492 Pictures', 'Harbinger Pictures']",2011-08-09,8.203,146,7.0,179.0,56.0,235.0,certified-fresh,76.0,4.2,44538,5555,108242,7673,89
69,2011,(84th),Hugo,Graham King and Martin Scorsese,False,44826,tt0970179,170000000,185770160,30.875,Adventure,False,"['GK Films', 'Infinitum Nihil']",2011-11-22,7.175,126,8.3,219.0,17.0,236.0,certified-fresh,93.0,3.9,36117,10040,83220,8506,78
70,2011,(84th),Midnight in Paris,Letty Aronson and Stephen Tenenbaum,False,59436,tt1605783,17000000,151119219,18.886,Fantasy,False,"['Pontchartrain Productions', 'Gravier Productions', 'Mediapro', 'Versátil Cinema', 'TV3', 'Firstep', 'Imagina International Sales']",2011-05-11,7.535,94,7.8,213.0,16.0,229.0,certified-fresh,93.0,4.0,34987,7333,82992,8100,83
71,2011,(84th),Moneyball,"Michael De Luca, Rachael Horovitz and Brad Pitt",False,60308,tt1210166,50000000,110206216,22.716,Drama,False,"['Columbia Pictures', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Sidney Kimmel Entertainment', 'Specialty Films']",2011-09-23,7.3,134,8.0,259.0,16.0,275.0,certified-fresh,94.0,4.0,43753,6880,92503,7886,86
72,2011,(84th),The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill",False,8967,tt0478304,32000000,54700000,20.74,Drama,False,"['River Road Entertainment', 'Plan B Entertainment', 'Cottonwood Pictures']",2011-05-17,6.73,139,8.2,252.0,46.0,298.0,certified-fresh,85.0,3.4,13780,9083,61115,6465,60
73,2011,(84th),War Horse,Steven Spielberg and Kathleen Kennedy,False,57212,tt1568911,66000000,177584879,28.297,War,False,"['DreamWorks Pictures', 'Reliance Entertainment', 'Amblin Entertainment', 'The Kennedy/Marshall Company']",2011-12-25,7.308,146,7.0,183.0,61.0,244.0,certified-fresh,75.0,3.8,19708,7074,69909,5412,74
74,2012,(85th),Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz",False,86837,tt1602620,8900000,29844753,15.148,Drama,False,"['wega film vienna', 'Les Films du Losange', 'X Filme Creative Pool']",2012-09-20,7.8,127,,,,,,,3.8,19708,7074,69909,5412,74
75,2012,(85th),Argo,"Grant Heslov, Ben Affleck and George Clooney",True,68734,tt1024648,44500000,232300000,24.502,Drama,False,"['GK Films', 'Warner Bros. Pictures', 'Smoke House Pictures']",2012-10-11,7.3,120,,,,,,,3.8,19708,7074,69909,5412,74
76,2012,(85th),Beasts of the Southern Wild,"Dan Janvey, Josh Penn and Michael Gottwald",False,84175,tt2125435,1800000,21107746,15.461,Drama,False,"['Cinereach', 'Court 13 Pictures', 'Journeyman Pictures', 'Department of Motion Pictures', 'Fox Searchlight Pictures', 'Seville International']",2012-06-29,6.8,93,8.3,182.0,28.0,210.0,certified-fresh,87.0,3.8,11168,3581,39420,2793,76
77,2012,(85th),Django Unchained,"Stacey Sher, Reginald Hudlin and Pilar Savone",False,68718,tt1853728,100000000,425368238,50.996,Drama,False,"['The Weinstein Company', 'Columbia Pictures']",2012-12-25,8.173,165,8.0,258.0,40.0,298.0,certified-fresh,87.0,4.3,123548,11426,431089,16120,92
78,2012,(85th),Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh",False,82695,tt1707386,61000000,441800000,17.245,History,False,"['Universal Pictures', 'Working Title Films', 'Cameron Mackintosh Ltd.', 'Relativity Media']",2012-12-18,7.3,158,,,,,,,4.3,123548,11426,431089,16120,92
